"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"***** UPDATE: Responding to COVID-19 ***** https://t.co/Y4GaOVUuq6 https://t.co/NcAsfhTdk4","en","Brackley Beach, PEI, Canada",0,0,1,0,"neu",2020-04-25,"Brackley Beach","Canada",0
"RT @canadahelps: Canadians across the country are feeling the affects of #COVIDー19 and urgently need help.

Support hundreds of charities h…","en","Canada",0.7351,0,0.526,0.474,"pos",2020-04-25,NA,"Canada",1
"RT @CP24: “You can fairly safely predict that, in fact, rates of depression will go up as the summer comes on.” https://t.co/oKqVSSW9vN","en","Canada",-0.0772,0.244,0.534,0.221,"neg",2020-04-25,NA,"Canada",-1
"#SocialDistancing and #StayingHome can have significant impacts on our #mentalhealth. We want to ensure our… https://t.co/BbyFPj3MMO","en","Halton, Ontario, Canada",0.0772,0,0.698,0.302,"pos",2020-04-25,"Halton","Canada",1
"RT @AbigailBimman: It’s been a month now since the public safety minister told the Senate there’s significant risk involving #COVID19 in pr…","en","Ottawa, Ontario, Canada",-0.2732,0.174,0.826,0,"neg",2020-04-25,"Ottawa","Canada",-1
"RT @ClinicalRehab: DW. Telemedicine/telerehabilitation may increase greatly after COVID-19. https://t.co/uCKVinrMJH We have published on it…","en","British Columbia, Canada",0,0,1,0,"neu",2020-04-25,"British Columbia","Canada",0
"@dpakman Story for your show.
David you should connect with Dr. Chris Martenson.  YouTube peakprosperity.  In a nut… https://t.co/37quJAJpR3","en","Toronto, Oakville, Canada",0,0,1,0,"neu",2020-04-25,"Toronto","Canada",0
"Ontario Premier Doug Ford to make a COVID-19 announcement  https://t.co/vm8uSsJwgm","en","Canada",0,0,1,0,"neu",2020-04-25,NA,"Canada",0
"RT @long_daze: Do any Conservative MP's have much covid 19 messaging on their social media accounts? Not really finding much. Haven't since…","en","British Columbia, Canada",0,0,1,0,"neu",2020-04-25,"British Columbia","Canada",0
"RT @BW: Iceland has emerged as a global leader in researching and fighting coronavirus https://t.co/cVetw8cd26","en","Canada",-0.3818,0.302,0.698,0,"neg",2020-04-25,NA,"Canada",-1
"RT @cbcbooks: ""The fabric of life is often lost to us. We're at the mercy of an archive that is hopelessly slanted toward the famous."" http…","en","Ottawa, Canada",-0.3182,0.187,0.813,0,"neg",2020-04-25,"Ottawa","Canada",-1
"Amazing! Thank you for that! #COVID19 #Covid_19 #learning #lockdownlearning https://t.co/cExmpvrCIr","en","Canada",0.3612,0,0.286,0.714,"pos",2020-04-25,NA,"Canada",1
"29 hospitalized , subsequently recovered COVID-19 patients after SARS-COV-2 infection found that 100% of patients h… https://t.co/JwS4W7gzyA","en","Canada",0,0,1,0,"neu",2020-04-25,NA,"Canada",0
"RT @JustinTrudeau: Canada’s health experts and researchers are some of the brightest in the world, and they’re working around the clock to…","en","Mississauga, Ontario, Canada",0.6124,0,0.667,0.333,"pos",2020-04-25,"Mississauga","Canada",1
"Even though the odds were stacked against her, she began to heal. So much so, that she left the ICU on Wednesday af… https://t.co/SiyxjmFu3N","en","1 Yonge St., Toronto, Canada",-0.3182,0.187,0.813,0,"neg",2020-04-25,"1 Yonge St.","Canada",-1
"RT @globalnews: Respiratory therapist Alana Spicer has never seen anything like COVID-19, and says her biggest challenge is remembering to…","en","Ontario, Canada",-0.2755,0.15,0.85,0,"neg",2020-04-25,"Ontario","Canada",-1
"🤦🏻‍♀️😲🤦🏻‍♀️🤪🤪🤪They're sick, damn it!!!     Conservative radio host agrees with caller that vaping bleach might cure… https://t.co/Tu9wAKqxZt","en","Québec, Canada",-0.7184,0.4,0.6,0,"neg",2020-04-25,"Québec","Canada",-1
"RT @CityNews: Trudeau says neither Ottawa nor the provinces are preparing plans to reopen the country that hinge on people being immune to…","en","Toronto, Canada",0,0,1,0,"neu",2020-04-25,"Toronto","Canada",0
"Dr. Erickson COVID-19 Briefing https://t.co/Lk23lEhh0l #COVID19 #Covid_19 #Canada #Canada #cdnpoli #CanadaCovid19","en","Canada",0,0,1,0,"neu",2020-04-25,NA,"Canada",0
"RT @woolwichnews: #StayStrong - We all have a part to play in stopping COVID-19. If we all follow the protocols set by Public Health we can…","en","Elmira, ON, Canada",0.0516,0.19,0.603,0.207,"pos",2020-04-25,"Elmira","Canada",1
