"original_text","lang","place","compound","neg","neu","pos","sentiment","created_at","city","country","sentiment_int"
"RT @joe_cressy: Each and every one of us have a role to play and our actions can help limit the spread of COVID-19 in our city. Let’s all f…","en","Canada",0.6249,0,0.638,0.362,"pos",2020-10-10,NA,"Canada",1
"RT @Ez4u2say_Janis: Covid-19 has unmasked the true nature of Donald Trump and Trumpism | Jonathan Freedland https://t.co/MtkPW7NJrb","en","Canada",0.4215,0,0.741,0.259,"pos",2020-10-10,NA,"Canada",1
"RT @WSJ: The White House has relied on rapid testing to detect Covid-19, while forgoing other mitigation strategies. “What seems to have be…","en","Canada",0,0,1,0,"neu",2020-10-10,NA,"Canada",0
"Happy Thanksgiving Canada
#Thankful #StaySafe https://t.co/RoTFQ3GRIc","en","North Shore, Vancouver, Canada",0,0,1,0,"neu",2020-10-11,"North Shore","Canada",0
"Ontario's COVID-19 Restrictions Included A Big Warning For The Rest Of The Province Too - Narcity - https://t.co/geHgwkYPkl via @shareaholic","en","Ontario, Canada",-0.4588,0.333,0.667,0,"neg",2020-10-11,"Ontario","Canada",-1
"RT @ReallyAmerican1: Why would the President of the United States hold a rally while he still has Covid_19?","en","Canada",0,0,1,0,"neu",2020-10-11,NA,"Canada",0
"@MrsRabbitResist They really can’t go anywhere your passports are useless until Covid-19 is under control. Most cou… https://t.co/eVQrCXNvdJ","en","Richmond Hill,Ontario,Canada",-0.4215,0.286,0.714,0,"neg",2020-10-12,"Richmond Hill","Canada",-1
"RT @MerlinofCanada: #COVID19's Second Wave Shifting To Seniors, Tam Warns
Rising cases in seniors' homes suggest the second wave could hit…","en","Québec, Canada",-0.1027,0.091,0.909,0,"neg",2020-10-12,"Québec","Canada",-1
"RT @swingleft: Mike Lee cut his COVID-19 quarantine short to support #AmyConeyBarrett in person. 

He's not wearing a mask and the Senate h…","en","Ontario, Canada",0.1531,0.152,0.652,0.196,"pos",2020-10-12,"Ontario","Canada",1
"RT @DailyMirror: Man's misuse of hand sanitiser dispenser 'sums up imbecile attitude to Covid-19'
https://t.co/9ejquOxi12 https://t.co/5b9J…","en","Canada",0.4939,0,0.714,0.286,"pos",2020-10-13,NA,"Canada",1
"Where would we be without our video streaming services during this apparently endless pandemic? https://t.co/T1upZiNI8g","en","Montreal, Quebec, Canada",0,0,1,0,"neu",2020-10-13,"Montreal","Canada",0
